City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Vila Franca Do Campo,PT,37.72,-25.43,66.61,84,41,3.15,scattered clouds
83,Port Alfred,ZA,-33.59,26.89,63.1,44,0,10.33,clear sky
84,Port Elizabeth,ZA,-33.92,25.57,52.09,76,0,3.44,clear sky
85,Baleshwar,IN,21.49,86.93,83.77,80,100,6.89,overcast clouds
86,Souillac,MU,-20.52,57.52,68.38,88,75,5.75,light rain
87,Arlit,NE,18.74,7.39,93.16,9,12,9.93,few clouds
88,Emmett,US,43.87,-116.50,94.55,17,0,1.99,clear sky
89,Quatre Cocos,MU,-20.21,57.76,68.11,74,84,17.07,light rain
90,Fortuna,US,40.60,-124.16,66.85,84,100,0.0,overcast clouds
91,Rocha,UY,-34.48,-54.33,44.44,84,34,3.67,scattered clouds
92,Maniitsoq,GL,65.42,-52.90,43.32,83,100,14.94,overcast clouds
93,Geraldton,AU,-28.77,114.60,54.01,62,0,20.71,clear sky
94,Jiangyou,CN,31.77,104.72,72.82,76,60,4.36,broken clouds
95,Tiksi,RU,71.69,128.87,38.86,70,31,4.56,scattered clouds
96,Saskylakh,RU,71.92,114.08,47.68,57,45,9.01,scattered clouds
97,Saint George,US,37.10,-113.58,103.62,15,0,11.01,clear sky
98,Lebu,CL,-37.62,-73.65,47.01,88,100,24.4,moderate rain
99,Villanueva De La Serena,ES,38.98,-5.80,71.17,26,3,5.79,clear sky
100,Gladstone,AU,-23.85,151.25,64.33,88,100,5.75,overcast clouds
101,Manicore,BR,-5.81,-61.30,89.55,51,0,2.3,clear sky
102,Tubuala,PA,9.52,-79.03,81.19,83,99,10.76,light rain
103,Ibra,OM,22.69,58.53,83.97,65,100,4.09,overcast clouds
104,Cherskiy,RU,68.75,161.30,55.83,44,38,6.73,scattered clouds
105,Santa Cruz,BO,-17.80,-63.17,80.06,53,20,17.27,few clouds
106,Goure,NE,13.98,10.27,90.73,35,63,3.74,broken clouds
107,Pochutla,MX,15.74,-96.47,89.82,63,91,5.41,overcast clouds
108,Qaanaaq,GL,77.48,-69.36,40.41,70,100,4.36,overcast clouds
109,Victoria,HK,22.29,114.16,81.32,89,100,8.99,moderate rain
110,Tasiilaq,GL,65.61,-37.64,38.97,86,88,2.62,overcast clouds
111,Los Llanos De Aridane,ES,28.66,-17.92,65.95,88,75,19.57,broken clouds
112,Cidreira,BR,-30.18,-50.21,55.8,77,0,5.88,clear sky
113,Lashio,MM,22.93,97.75,68.95,100,100,0.76,light rain
114,Batagay-Alyta,RU,67.80,130.41,58.26,57,98,6.8,overcast clouds
115,Dunedin,NZ,-45.87,170.50,46.8,44,36,3.0,scattered clouds
116,Kieta,PG,-6.22,155.63,80.64,84,38,6.42,light rain
117,Vila Velha,BR,-20.33,-40.29,71.94,84,40,10.36,scattered clouds
118,Sawakin,SD,19.11,37.33,87.76,45,1,8.3,clear sky
119,Makakilo City,US,21.35,-158.09,82.72,58,20,20.71,few clouds
120,Grindavik,IS,63.84,-22.43,55.35,93,100,6.91,light rain
121,Racale,IT,39.96,18.09,76.87,71,0,6.91,clear sky
122,Bafra,TR,41.57,35.91,66.24,87,51,4.72,broken clouds
123,Shetpe,KZ,44.17,52.12,65.1,45,6,9.19,clear sky
124,Castro,BR,-24.79,-50.01,51.01,65,0,2.89,clear sky
125,Arman,RU,59.70,150.17,54.5,90,100,4.18,overcast clouds
126,North Bend,US,43.41,-124.22,73.24,83,0,14.97,clear sky
127,Sao Joao Da Barra,BR,-21.64,-41.05,71.69,81,1,9.84,clear sky
