City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rikitea,PF,2022-06-30 04:43:08,-23.1203,-134.9692,68.95,79,100,19.66
68,Bembereke,BJ,2022-06-30 04:43:09,10.2283,2.6634,67.95,97,100,7.38
69,East London,ZA,2022-06-30 04:43:09,-33.0153,27.9116,54.54,58,0,10.36
70,Ler,SS,2022-06-30 04:43:09,8.3018,30.1418,74.16,75,52,4.83
71,Arawa,PG,2022-06-30 04:43:10,-6.2132,155.5367,87.3,61,74,6.73
72,Kuldur,RU,2022-06-30 04:43:10,49.2167,131.6333,83.55,37,28,6.96
73,Warrnambool,AU,2022-06-30 04:43:11,-38.3833,142.4833,55.81,87,98,6.89
74,Mataura,NZ,2022-06-30 04:43:11,-46.1927,168.8643,45.48,95,100,8.63
75,Katsina,NG,2022-06-30 04:43:11,12.9894,7.6006,79.3,52,93,6.62
76,Morros,BR,2022-06-30 04:43:12,-9.4467,-46.3003,65.66,52,6,3.74
77,Uttarkashi,IN,2022-06-30 04:43:12,30.7333,78.45,80.82,79,100,5.82
78,Namatanai,PG,2022-06-30 04:43:12,-3.6667,152.4333,82.96,74,99,8.23
79,Turinsk,RU,2022-06-30 04:43:13,58.0458,63.696,57.78,49,13,8.66
80,Ambilobe,MG,2022-06-30 04:43:13,-13.2,49.05,72.77,59,0,3.53
81,Naze,JP,2022-06-30 04:43:14,28.3667,129.4833,83.32,78,48,12.77
82,Bambanglipuro,ID,2022-06-30 04:43:14,-7.95,110.2833,83.01,69,83,12.12
83,Pangnirtung,CA,2022-06-30 04:43:14,66.1451,-65.7125,43.84,76,37,1.34
84,Copperas Cove,US,2022-06-30 04:43:15,31.1241,-97.9031,82.08,55,0,0.0
85,Hasaki,JP,2022-06-30 04:43:15,35.7333,140.8333,97.29,68,85,9.73
86,Rancho Palos Verdes,US,2022-06-30 04:38:32,33.7445,-118.387,74.98,88,5,4.0
87,Barrow,US,2022-06-30 04:43:16,71.2906,-156.7887,44.62,81,100,14.97
88,Nome,US,2022-06-30 04:43:16,64.5011,-165.4064,56.16,82,100,6.91
89,Breyten,ZA,2022-06-30 04:43:17,-26.3018,29.987,35.22,57,0,3.15
90,Tuktoyaktuk,CA,2022-06-30 04:43:17,69.4541,-133.0374,48.2,93,100,8.05
91,Hithadhoo,MV,2022-06-30 04:43:18,-0.6,73.0833,82.4,76,74,9.98
92,Culleredo,ES,2022-06-30 04:43:18,43.2879,-8.3886,55.29,92,40,5.75
93,Surt,LY,2022-06-30 04:43:19,31.2089,16.5887,82.26,44,1,8.03
94,Saint-Ambroise,CA,2022-06-30 04:43:20,48.5501,-71.3324,56.57,94,100,2.3
95,Bredasdorp,ZA,2022-06-30 04:43:20,-34.5322,20.0403,54.68,50,1,5.61
96,Qaanaaq,GL,2022-06-30 04:43:20,77.484,-69.3632,42.62,58,81,2.66
97,Port Hedland,AU,2022-06-30 04:43:21,-20.3167,118.5667,75.25,29,0,23.02
98,Georgetown,MY,2022-06-30 04:41:41,5.4112,100.3354,88.9,71,20,6.91
99,Fortuna,US,2022-06-30 04:43:21,40.5982,-124.1573,56.66,84,23,3.0
100,Emerald,AU,2022-06-30 04:43:22,-23.5333,148.1667,68.34,65,99,7.83
101,Fairbanks,US,2022-06-30 04:43:22,64.8378,-147.7164,77.0,40,20,8.05
102,Navrongo,GH,2022-06-30 04:43:22,10.8956,-1.0921,76.82,78,80,5.7
103,Mogadishu,SO,2022-06-30 04:43:16,2.0371,45.3438,78.67,73,75,19.57
104,Balykshi,KZ,2022-06-30 04:43:23,47.0667,51.8667,68.0,37,0,11.18
105,Sioux Lookout,CA,2022-06-30 04:43:23,50.1001,-91.917,55.47,88,100,11.5
106,Moussoro,TD,2022-06-30 04:43:24,13.6408,16.4901,81.14,56,100,10.04
107,Chokurdakh,RU,2022-06-30 04:43:24,70.6333,147.9167,64.29,30,82,12.71
108,Kodiak,US,2022-06-30 04:43:24,57.79,-152.4072,67.51,64,0,6.91
109,Vardo,NO,2022-06-30 04:43:25,70.3705,31.1107,55.38,82,95,21.85
110,Katsuura,JP,2022-06-30 04:43:25,35.1333,140.3,81.63,75,98,5.95
111,Souillac,MU,2022-06-30 04:43:25,-20.5167,57.5167,64.78,94,40,4.61
112,Athabasca,CA,2022-06-30 04:41:35,54.7169,-113.2854,59.41,84,66,7.52
113,Tuatapere,NZ,2022-06-30 04:43:26,-46.1333,167.6833,42.98,79,100,14.97
114,Grindavik,IS,2022-06-30 04:43:26,63.8424,-22.4338,48.15,100,100,10.36
