City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Silopi,TR,84.11,clear sky,37.25,42.47,"Özenler Residence Otel, Şırnak Silopi"
279,Biak,ID,75.16,few clouds,-0.91,122.88,Penginapan Kim
282,Zhenlai,CN,76.12,scattered clouds,45.85,123.3,
294,Mbini,GQ,75.38,overcast clouds,1.57,9.61,
299,Tual,ID,81.25,light rain,-5.67,132.75,Grand Vilia Hotel
302,Kirakira,SB,82.67,light rain,-10.45,161.92,SanBiz Lodge
304,San Juan Nepomuceno,CO,83.59,light rain,9.95,-75.08,HOTEL ALCAZAR DE LUCAS
310,Agira,IT,77.92,clear sky,37.66,14.52,Case al Borgo-Agira Centre-Home Relais
312,Marsa Matruh,EG,77.2,clear sky,31.35,27.25,Beau Site
325,Uchiza,PE,80.83,clear sky,-8.46,-76.46,JIRON CARLOS AREVALO
330,Hirara,JP,77.27,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
332,Eyl,SO,80.06,overcast clouds,7.98,49.82,DAAWAD HOTEL EYL
336,Maceio,BR,76.44,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara
337,Anito,PH,77.81,overcast clouds,12.45,125.29,El Felix Cottages
340,Hami,CN,84.24,clear sky,42.8,93.45,Laoyutang Resort
349,Buchanan,LR,76.82,light rain,5.88,-10.05,Kamaneahn Hotel Inc
354,Ribera,IT,83.26,broken clouds,37.5,13.26,B&B Le Foglie D'Argento
355,Celestun,MX,82.36,scattered clouds,20.87,-90.4,Posada Lilia
357,Ewo,CG,77.83,broken clouds,-0.87,14.82,Residence Elonda Ewo
367,Sola,VU,81.27,scattered clouds,-13.88,167.55,Ulkel Guest House
369,Madang,PG,78.01,scattered clouds,-5.22,145.8,Comfort Inn Hotel
377,Luwuk,ID,76.12,few clouds,-0.95,122.79,Hotel Santika Luwuk
378,Kismayo,SO,76.28,scattered clouds,-0.36,42.55,Agan-Hotel
379,Lingao,CN,80.94,light rain,19.91,109.69,Lingao Ditai Inn
382,Kavaratti,IN,82.78,light rain,10.57,72.64,Hotels in Lakshadweep Islands
383,Bekescsaba,HU,75.94,clear sky,46.68,21.1,Fenyves Wellness Hotel és Étterem Békéscsaba
384,Ranot,TH,79.72,overcast clouds,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
385,Buala,SB,81.45,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
387,Rapid Valley,US,83.71,scattered clouds,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
388,Santa Rita,BR,77.67,few clouds,-7.11,-34.98,Infinity Motel
389,Daru,PG,79.84,clear sky,-9.08,143.21,Daru Lodge
390,Quechultenango,MX,83.71,light rain,17.42,-99.22,Hotel Barrios
392,Biograd Na Moru,HR,77.76,clear sky,43.94,15.45,Villa Maimare
393,Touros,BR,77.07,clear sky,-5.2,-35.46,INN NEW HORIZON
